"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.693651542E0,-8.046391606E-2,2.822067440E-1,-1.997296691E0
4.713653542E0,-4.222837985E-1,-4.614161253E-1,-2.077363968E0
4.733655542E0,-6.132603288E-1,-8.739373684E-1,-2.103344679E0
4.753658542E0,-7.322931290E-1,-9.156010151E-1,-2.051152468E0
4.773660542E0,-7.749521732E-1,-8.373254538E-1,-1.978950500E0
4.793663542E0,-8.145914674E-1,-6.663243771E-1,-1.913025737E0
4.813665542E0,-9.246625900E-1,-3.767922223E-1,-1.770200253E0
4.833667542E0,-9.854796529E-1,-2.704122663E-2,-1.536541104E0
4.853670542E0,-1.050153375E0,1.611479223E-1,-1.460325480E0
4.873672542E0,-1.142368436E0,1.157683358E-1,-1.518143296E0
4.893675542E0,-1.233479738E0,-3.025165945E-2,-1.575129867E0
4.913677542E0,-1.258994699E0,-2.254605740E-1,-1.586375237E0
4.933679542E0,-1.147348762E0,-4.335962832E-1,-1.550159454E0
4.953682542E0,-9.823390841E-1,-6.393932700E-1,-1.442980528E0
4.973684542E0,-9.239957333E-1,-6.994607449E-1,-1.229257226E0
4.993687542E0,-9.476667047E-1,-7.072851658E-1,-9.930409789E-1
5.013689542E0,-8.554328084E-1,-7.330753207E-1,-8.459718227E-1
5.033692542E0,-6.319244504E-1,-6.628367901E-1,-5.299459100E-1
5.053694542E0,-3.389939666E-1,-5.919013023E-1,-4.775415733E-2
5.073696542E0,7.681263983E-2,-5.035368204E-1,3.264918625E-1
5.093699542E0,6.549882889E-1,-2.230699360E-1,6.523355246E-1
5.113701542E0,1.176585555E0,4.552853703E-1,9.658470750E-1
5.133704542E0,1.483304262E0,1.265831590E0,1.160830855E0
5.153706542E0,1.430403233E0,1.944982886E0,1.410184145E0
5.173708542E0,1.182975650E0,2.233463049E0,1.782005191E0
5.193711542E0,1.015194058E0,2.114651203E0,2.088424444E0
5.213713542E0,9.801670909E-1,1.744079828E0,2.379922390E0
5.233719667E0,9.839121103E-1,1.350918293E0,2.717143536E0
5.253721667E0,1.018024921E0,1.015164852E0,3.090087652E0
5.273723667E0,1.108308315E0,7.249106169E-1,3.422052383E0
5.293726667E0,1.262750387E0,4.003865421E-1,3.454703569E0
5.313728667E0,1.351982236E0,1.631089151E-1,3.389718533E0
5.333731667E0,1.288521647E0,2.501408197E-2,3.402404070E0
5.353733667E0,1.052559257E0,-3.090225905E-2,3.424039602E0
5.373735667E0,6.956753731E-1,-2.237112522E-1,3.336754560E0
5.393738667E0,2.777689397E-1,-5.105959773E-1,3.081091404E0
5.413740667E0,-1.750388741E-1,-6.901274323E-1,2.670654535E0
5.433743667E0,-6.171936393E-1,-7.741084099E-1,2.062202692E0
5.453745667E0,-1.131083965E0,-8.551379442E-1,1.466825008E0
5.473748667E0,-1.363762140E0,-8.666004539E-1,9.571914077E-1
5.493750667E0,-1.292104006E0,-4.955107868E-1,5.274866521E-2
5.513752667E0,-1.245724440E0,-2.834424078E-1,-2.361090481E-1
5.533755667E0,-1.004164100E0,1.373977214E-1,-5.441868305E-1
5.553757667E0,-4.108380973E-1,7.121329904E-1,-9.612060785E-1
5.573760667E0,9.159751981E-2,8.346284032E-1,-1.445747375E0
5.593762667E0,1.275201142E-1,1.044455171E0,-1.887486696E0
5.613764667E0,7.646737993E-2,1.373313665E0,-2.153573513E0
5.633767667E0,1.733406931E-1,1.016900659E0,-2.387507677E0
5.653769667E0,6.003068089E-1,9.863289595E-1,-2.694413662E0
5.673772667E0,1.126538515E0,9.237949848E-1,-2.813158274E0
5.693774667E0,1.396833420E0,8.412360549E-1,-2.795516729E0
5.713776667E0,1.518777728E0,4.773517549E-1,-2.676479101E0
5.733779667E0,1.474731088E0,-1.842149496E-1,-2.588960886E0
5.753781667E0,1.277699947E0,-8.913756609E-1,-2.505863667E0
5.773784667E0,1.055237651E0,-1.410468698E0,-2.476450205E0
5.793786667E0,8.004167676E-1,-1.613808990E0,-2.426872492E0
5.813788667E0,5.038516521E-1,-1.633195996E0,-2.269795179E0
5.833791667E0,2.212229371E-1,-1.490394115E0,-2.043303490E0
5.853793667E0,-1.507586688E-1,-1.229236364E0,-1.800626397E0
5.873796667E0,-5.720003843E-1,-8.448042274E-1,-1.537186027E0
5.893798667E0,-1.041832924E0,-4.375753403E-1,-1.319919586E0
5.913801667E0,-1.503849864E0,-2.525517941E-1,-1.218218446E0
5.933803667E0,-1.882003307E0,-2.944357693E-1,-1.275883555E0
5.953805667E0,-2.135679960E0,-5.464176536E-1,-1.416023374E0
5.973808667E0,-2.139868259E0,-8.835490346E-1,-1.531205535E0
5.993810667E0,-1.907235026E0,-1.185441256E0,-1.463412523E0
6.013813667E0,-1.529250503E0,-1.544676065E0,-1.245630741E0
6.033815667E0,-1.040603995E0,-1.824644208E0,-1.138456821E0
6.053817667E0,-5.161346793E-1,-1.645733237E0,-9.604656696E-1
