"Time (s)","Illuminance (lx)"
3.770311938E1,0.000000000E0
3.781338823E1,0.000000000E0
3.792352304E1,0.000000000E0
3.803247786E1,0.000000000E0
3.814260371E1,0.000000000E0
3.825277836E1,0.000000000E0
3.836386696E1,0.000000000E0
3.847318296E1,0.000000000E0
3.858308769E1,0.000000000E0
3.869246675E1,0.000000000E0
3.880122152E1,0.000000000E0
3.891073474E1,0.000000000E0
3.902207874E1,0.000000000E0
3.913224645E1,0.000000000E0
3.924250711E1,0.000000000E0
3.935060740E1,0.000000000E0
3.945909880E1,0.000000000E0
3.956901239E1,0.000000000E0
3.968020651E1,0.000000000E0
3.978956527E1,0.000000000E0
3.989958742E1,0.000000000E0
4.000913513E1,0.000000000E0
4.011885071E1,0.000000000E0
4.022699782E1,0.000000000E0
4.033694879E1,0.000000000E0
4.044702824E1,0.000000000E0
4.055711962E1,0.000000000E0
4.066782126E1,0.000000000E0
4.077602523E1,0.000000000E0
4.088598676E1,0.000000000E0
4.099536002E1,0.000000000E0
4.110547011E1,0.000000000E0
4.121554552E1,0.000000000E0
4.132539934E1,0.000000000E0
4.143533842E1,0.000000000E0
4.154442368E1,0.000000000E0
4.165383415E1,0.000000000E0
4.176386676E1,0.000000000E0
4.187398180E1,0.000000000E0
4.198405215E1,0.000000000E0
4.209413218E1,0.000000000E0
4.220329961E1,0.000000000E0
4.231360097E1,1.000000000E0
4.242403097E1,0.000000000E0
4.253358088E1,1.000000000E0
4.264352242E1,3.000000000E0
4.275195200E1,2.000000000E0
4.286185286E1,3.000000000E0
4.297198089E1,3.000000000E0
4.308275783E1,3.000000000E0
4.319221109E1,3.000000000E0
4.330167414E1,3.000000000E0
4.341141474E1,3.000000000E0
4.351961141E1,3.000000000E0
4.363112461E1,3.000000000E0
4.374108432E1,3.000000000E0
4.384988534E1,3.000000000E0
4.395980371E1,3.000000000E0
4.406814405E1,3.000000000E0
4.417761670E1,2.000000000E0
4.428750976E1,0.000000000E0
4.439930826E1,0.000000000E0
4.450833567E1,1.000000000E0
4.461800842E1,2.000000000E0
4.472776320E1,0.000000000E0
4.483585455E1,0.000000000E0
4.494588250E1,0.000000000E0
4.505600564E1,1.000000000E0
4.516566276E1,1.000000000E0
4.527484368E1,1.000000000E0
4.538438360E1,1.000000000E0
4.549412889E1,2.000000000E0
4.560430928E1,3.000000000E0
4.571439868E1,3.000000000E0
4.582421972E1,3.000000000E0
4.593348772E1,3.000000000E0
4.604351508E1,3.000000000E0
4.615329939E1,3.000000000E0
4.626344338E1,3.000000000E0
4.637298315E1,3.000000000E0
4.648316782E1,3.000000000E0
4.659302873E1,3.000000000E0
4.670241879E1,3.000000000E0
4.681245419E1,3.000000000E0
4.692256618E1,3.000000000E0
4.703343267E1,3.000000000E0
4.714218956E1,3.000000000E0
4.725195469E1,3.000000000E0
4.736085076E1,3.000000000E0
4.747024242E1,3.000000000E0
4.758040051E1,3.000000000E0
4.769117080E1,3.000000000E0
4.780092288E1,3.000000000E0
4.791042557E1,3.000000000E0
4.801997946E1,2.000000000E0
