"Time (s)","X (µT)","Y (µT)","Z (µT)"
5.887106458E0,1.116082764E1,-2.208360291E1,-3.832991028E1
5.907123458E0,1.102473450E1,-2.189778137E1,-3.847163391E1
5.927140458E0,1.129344177E1,-2.211181641E1,-3.814884949E1
5.947157458E0,1.111073303E1,-2.192585754E1,-3.845005798E1
5.967174458E0,1.095190430E1,-2.151219177E1,-3.865534973E1
5.987190458E0,1.059280396E1,-2.146977234E1,-3.938105774E1
6.007207458E0,1.003625488E1,-2.124597168E1,-3.947979736E1
6.027224458E0,9.774124146E0,-2.119741821E1,-3.938281250E1
6.047241458E0,9.762924194E0,-2.142684937E1,-3.906375122E1
6.067258458E0,9.520278931E0,-2.170726013E1,-3.919578552E1
6.087275458E0,9.672546387E0,-2.206922913E1,-3.904924011E1
6.107291458E0,9.594924927E0,-2.191218567E1,-3.920281982E1
6.127308458E0,9.576538086E0,-2.213311768E1,-3.895718384E1
6.147325458E0,9.598709106E0,-2.196315002E1,-3.921180725E1
6.167342458E0,9.177627563E0,-2.184010315E1,-3.906951904E1
6.187359458E0,9.501403809E0,-2.206892395E1,-3.902217102E1
6.207376458E0,8.897583008E0,-2.211511230E1,-3.892576599E1
6.227392458E0,8.770736694E0,-2.207557678E1,-3.916156006E1
6.247409458E0,8.865051270E0,-2.253680420E1,-3.865708923E1
6.267426458E0,8.714797974E0,-2.237973022E1,-3.875151062E1
6.287443458E0,9.008468628E0,-2.255824280E1,-3.860112000E1
6.307460458E0,8.900238037E0,-2.254917908E1,-3.845460510E1
6.327477458E0,8.974487305E0,-2.255976868E1,-3.855467224E1
6.347494458E0,9.224380493E0,-2.263677979E1,-3.874069214E1
6.367510458E0,9.027053833E0,-2.261010742E1,-3.853314209E1
6.387527458E0,9.467864990E0,-2.252838135E1,-3.875367737E1
6.407544458E0,9.215316772E0,-2.249394226E1,-3.919027710E1
6.427561458E0,9.507720947E0,-2.232101440E1,-3.888049316E1
6.447578458E0,9.548812866E0,-2.261456299E1,-3.816877747E1
6.467595458E0,9.763717651E0,-2.290469360E1,-3.795684814E1
6.487612458E0,1.040124512E1,-2.302067566E1,-3.805065918E1
6.507628458E0,1.013729858E1,-2.323231506E1,-3.820518494E1
6.527645458E0,1.002464294E1,-2.306817627E1,-3.811585999E1
6.547662458E0,9.844955444E0,-2.320785522E1,-3.794290161E1
6.567676167E0,9.967910767E0,-2.295648193E1,-3.821362305E1
6.587693167E0,9.692077637E0,-2.270555115E1,-3.866351318E1
6.607710167E0,9.699371338E0,-2.260557556E1,-3.872729492E1
6.627726167E0,9.607070923E0,-2.256829834E1,-3.830793762E1
6.647743167E0,9.749694824E0,-2.300631714E1,-3.834924316E1
6.667760167E0,9.337127686E0,-2.284794617E1,-3.868008423E1
6.687777167E0,9.414535522E0,-2.299726868E1,-3.818408203E1
6.707794167E0,9.518035889E0,-2.298428345E1,-3.771920776E1
6.727811167E0,9.516296387E0,-2.277531433E1,-3.791899109E1
6.747828167E0,9.722976685E0,-2.283439636E1,-3.786740112E1
6.767844167E0,9.450271606E0,-2.286230469E1,-3.798393250E1
6.787861167E0,9.475555420E0,-2.288201904E1,-3.778524780E1
6.807878167E0,1.007756042E1,-2.266673279E1,-3.789172363E1
6.827895167E0,1.054994202E1,-2.247296143E1,-3.797294617E1
6.847912167E0,1.091850281E1,-2.207572937E1,-3.845919800E1
6.867929167E0,1.074938965E1,-2.213229370E1,-3.813500977E1
6.887946167E0,1.086058044E1,-2.181010437E1,-3.839822388E1
6.907962167E0,1.052302551E1,-2.158020020E1,-3.862467957E1
6.927979167E0,1.055575562E1,-2.108708191E1,-3.863085938E1
6.947996167E0,1.004556274E1,-2.058383179E1,-3.925213623E1
6.968013167E0,9.397338867E0,-2.000471497E1,-3.970954895E1
6.988030167E0,8.889175415E0,-1.965814209E1,-4.003326416E1
7.008047167E0,8.747619629E0,-1.963107300E1,-4.018943787E1
