"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.545136458E0,-2.387825847E-1,-4.414684698E-2,1.387774050E-1
3.565154083E0,-3.965731561E-1,2.116733193E-1,1.197337881E-1
3.585170083E0,-4.013360143E-1,4.348093569E-1,1.048396975E-1
3.605187083E0,-4.247252643E-1,4.619084895E-1,8.218658715E-2
3.625204083E0,-5.505814552E-1,1.974307895E-1,3.593386710E-2
3.645221083E0,-5.364227295E-1,-1.938196719E-1,-3.039588593E-2
3.665238083E0,-2.633629143E-1,-3.414345980E-1,-1.332449615E-1
3.685254083E0,3.977833316E-2,-2.568336725E-1,-2.355351150E-1
3.705271083E0,1.489899606E-1,-1.989083886E-1,-2.650395334E-1
3.725288083E0,6.356053799E-2,-3.164309561E-1,-3.063233495E-1
3.745305083E0,-3.141966090E-2,-3.288711905E-1,-4.422480464E-1
3.765321083E0,-1.677880734E-1,-1.396974921E-1,-5.827417374E-1
3.785338083E0,-4.248153567E-1,6.722406298E-2,-5.710592270E-1
3.805355083E0,-6.790577769E-1,4.657881334E-2,-3.870063722E-1
3.825372083E0,-6.140009761E-1,-1.493014395E-1,-1.419051886E-1
3.845389083E0,-2.510215938E-1,-2.793007493E-1,6.486511976E-2
3.865405083E0,1.029854119E-1,-3.169613481E-1,1.541807950E-1
3.885422083E0,1.852483153E-1,-3.352455199E-1,1.137196571E-1
3.905439083E0,1.646559313E-2,-2.988733947E-1,6.280725822E-3
3.925456083E0,-2.370349020E-1,-3.295609653E-1,-1.138264090E-1
3.945472083E0,-4.156313837E-1,-3.781931698E-1,-1.860247850E-1
3.965489083E0,-4.550348818E-1,-3.795933127E-1,-1.887325197E-1
3.985506083E0,-3.591512144E-1,-3.292820156E-1,-1.093460843E-1
4.005523083E0,-1.800149083E-1,-2.036958635E-1,4.180569947E-2
4.025540083E0,2.193843015E-2,-3.180424124E-2,2.057914436E-1
4.045556083E0,2.523561716E-1,1.583982557E-1,3.718440831E-1
4.065573083E0,4.313704073E-1,2.714565098E-1,5.399423242E-1
4.085590083E0,5.523012280E-1,3.115000725E-1,6.344507933E-1
4.105607083E0,5.338809490E-1,1.689180583E-1,6.784294248E-1
4.125624083E0,5.286776423E-1,-4.731382802E-2,6.297772527E-1
4.145640083E0,5.987374783E-1,4.635242373E-2,4.805385172E-1
4.165657083E0,4.681814015E-1,1.533794850E-1,3.134699464E-1
4.185674083E0,1.858330071E-1,1.220135316E-1,1.627272367E-1
4.205691083E0,3.857906163E-2,1.618682593E-2,3.561242670E-2
4.225707083E0,1.531023085E-1,1.710295677E-1,-1.033357754E-1
4.245724083E0,3.303441405E-1,6.350955963E-1,-1.713193655E-1
4.265741083E0,2.312648892E-1,8.969534039E-1,-8.510874957E-2
4.285758083E0,-1.152606215E-2,7.014718652E-1,4.886840284E-2
4.305775083E0,-1.093840525E-1,2.416647971E-1,1.561765820E-1
4.325791083E0,-7.774445694E-3,-1.772595942E-1,1.307693124E-1
4.345808083E0,8.292336762E-2,-3.094069958E-1,8.846232295E-2
4.365825083E0,6.241359189E-2,-1.424766928E-1,6.157398969E-2
4.385842083E0,-2.120907418E-2,1.782785952E-1,4.026684538E-2
4.405859083E0,-1.013281345E-1,4.533691406E-1,2.302923240E-4
4.425875083E0,-1.235653162E-1,6.643815041E-1,-7.543791831E-2
4.445892083E0,-1.328043342E-1,8.170564771E-1,-1.039955318E-1
4.465909083E0,-1.406836510E-1,9.358991981E-1,-5.545897409E-2
4.485926083E0,-1.262956411E-1,9.602449536E-1,1.618093811E-2
4.505943083E0,-9.703810513E-2,8.519306183E-1,7.164181024E-2
4.525959083E0,-3.679603338E-2,6.525143981E-1,1.047022864E-1
4.545976083E0,9.339577705E-2,4.684790373E-1,1.216186881E-1
4.565992583E0,2.884654105E-1,4.131811261E-1,1.294033825E-1
4.586009583E0,4.056829512E-1,4.277264774E-1,1.342906356E-1
4.606026583E0,3.379258811E-1,4.247724712E-1,7.148858905E-2
4.626042583E0,7.027409971E-2,3.408127427E-1,-3.880143538E-2
4.646059583E0,-2.012438029E-1,1.236436889E-1,-9.084129333E-2
4.666076583E0,-2.674531937E-1,-1.068660840E-1,-8.255894482E-2
4.686093583E0,-1.728811711E-1,-1.016827151E-1,-3.486226499E-2
4.706110583E0,-2.943894565E-1,-3.368709609E-2,-3.451623395E-2
4.726127583E0,-6.287369728E-1,-3.279047608E-1,-1.414069831E-1
4.746143583E0,-6.304882169E-1,-6.504159570E-1,-2.623640299E-1
4.766160583E0,-1.399458945E-1,-5.388728976E-1,-2.982535064E-1
4.786177583E0,4.226692617E-1,-1.014509946E-1,-2.743228078E-1
4.806194583E0,6.042006612E-1,6.884179264E-2,-1.980060935E-1
4.826211583E0,4.801191688E-1,-9.415954351E-2,-1.448141485E-1
4.846227583E0,3.078608513E-1,-2.548132539E-1,-1.555108279E-1
4.866244583E0,1.320216358E-1,-3.202075958E-1,-2.199938595E-1
4.886261583E0,-4.176176339E-2,-3.310389817E-1,-2.365644872E-1
4.906278583E0,-1.315211207E-1,-3.207421303E-1,-2.198551893E-1
4.926295583E0,-7.498483360E-2,-2.953705192E-1,-2.295642793E-1
4.946311583E0,4.495023936E-2,-2.445790321E-1,-2.280035764E-1
4.966328583E0,9.873930365E-2,-2.939540148E-1,-2.792791128E-1
4.986345583E0,8.909328282E-2,-3.506598175E-1,-3.808403611E-1
5.006362583E0,1.480636932E-2,-3.803881705E-1,-4.393131733E-1
5.026379583E0,-1.060694754E-1,-3.609427810E-1,-4.585750103E-1
5.046395583E0,-2.307054847E-1,-3.005231619E-1,-4.173903763E-1
