"Time (s)","Pressure (hPa)"
1.257544600E2,1.032087891E3
1.258344600E2,1.032078125E3
1.259144600E2,1.032086426E3
1.259944616E2,1.032075684E3
1.260744600E2,1.032081543E3
1.261544600E2,1.032083008E3
1.262344600E2,1.032086426E3
1.263144600E2,1.032082520E3
1.263944600E2,1.032072266E3
1.264744600E2,1.032080566E3
1.265544600E2,1.032075195E3
1.266344600E2,1.032072754E3
1.267144600E2,1.032079590E3
1.267944600E2,1.032085938E3
1.268744600E2,1.032085449E3
1.269544600E2,1.032080566E3
1.270344600E2,1.032078613E3
1.271144600E2,1.032073730E3
1.271944600E2,1.032065430E3
1.272744600E2,1.032063965E3
1.273544600E2,1.032062988E3
1.274344600E2,1.032056641E3
1.275144600E2,1.032055664E3
1.275944600E2,1.032053711E3
1.276744600E2,1.032046875E3
1.277544600E2,1.032041016E3
1.278344600E2,1.032046875E3
1.279144600E2,1.032044434E3
1.279944600E2,1.032054688E3
1.280744600E2,1.032043457E3
1.281544600E2,1.032041016E3
1.282344600E2,1.032052246E3
1.283144600E2,1.032047363E3
1.283944600E2,1.032043457E3
1.284744600E2,1.032030762E3
1.285544616E2,1.032025879E3
1.286344600E2,1.032030273E3
1.287144600E2,1.032025391E3
1.287944600E2,1.032031738E3
1.288744600E2,1.032039062E3
1.289544600E2,1.032038574E3
1.290344600E2,1.032031738E3
1.291144616E2,1.032019531E3
1.291944600E2,1.032020020E3
1.292744600E2,1.032035645E3
1.293544600E2,1.032033691E3
1.294344600E2,1.032020996E3
1.295144600E2,1.032019043E3
1.295944600E2,1.032035645E3
1.296744600E2,1.032035156E3
1.297544600E2,1.032033691E3
1.298344600E2,1.032044922E3
1.299144600E2,1.032045898E3
1.299944600E2,1.032054199E3
1.300744600E2,1.032043945E3
1.301544600E2,1.032053711E3
1.302344600E2,1.032045898E3
1.303144600E2,1.032048340E3
1.303944616E2,1.032044434E3
1.304744600E2,1.032041992E3
1.305544600E2,1.032043457E3
1.306344600E2,1.032040039E3
1.307144600E2,1.032030762E3
1.307944600E2,1.032033691E3
1.308744600E2,1.032038574E3
1.309544600E2,1.032041016E3
1.310344600E2,1.032047363E3
1.311144600E2,1.032034180E3
1.311944600E2,1.032041992E3
1.312744600E2,1.032052734E3
1.313544616E2,1.032052246E3
1.314344600E2,1.032048340E3
1.315144600E2,1.032047363E3
1.315944600E2,1.032046387E3
1.316744600E2,1.032045410E3
1.317544600E2,1.032037109E3
1.318344600E2,1.032035645E3
1.319144600E2,1.032042969E3
1.319944600E2,1.032032715E3
1.320744600E2,1.032028320E3
1.321544600E2,1.032025391E3
1.322344600E2,1.032033203E3
1.323144600E2,1.032024902E3
1.323944600E2,1.032025879E3
1.324744600E2,1.032020996E3
1.325544772E2,1.032029785E3
1.326344600E2,1.032039062E3
1.327144600E2,1.032020996E3
1.327944600E2,1.032017578E3
1.328744600E2,1.032015137E3
1.329544600E2,1.032027832E3
1.330344600E2,1.032027344E3
1.331144600E2,1.032032715E3
1.331944600E2,1.032029785E3
1.332744600E2,1.032031250E3
1.333544616E2,1.032027832E3
1.334344600E2,1.032023926E3
1.335144600E2,1.032025879E3
1.335944600E2,1.032024414E3
1.336744600E2,1.032030762E3
1.337544600E2,1.032033691E3
1.338344600E2,1.032025879E3
1.339144600E2,1.032022949E3
1.339944600E2,1.032020020E3
1.340744600E2,1.032018066E3
1.341544600E2,1.032021973E3
1.342344600E2,1.032021484E3
1.343144600E2,1.032021973E3
1.343944600E2,1.032020996E3
1.344744616E2,1.032026855E3
1.345544600E2,1.032017090E3
1.346344600E2,1.032008789E3
1.347144600E2,1.032005371E3
1.347944600E2,1.032023438E3
1.348744600E2,1.032020020E3
1.349544616E2,1.032006836E3
1.350344600E2,1.032015137E3
1.351144600E2,1.032015625E3
1.351944600E2,1.032014648E3
1.352744600E2,1.032007812E3
1.353544600E2,1.032017090E3
1.354344600E2,1.032014160E3
1.355144600E2,1.032019531E3
1.355944600E2,1.032020020E3
1.356744600E2,1.032013184E3
1.357544600E2,1.032011719E3
1.358344600E2,1.032019531E3
1.359144600E2,1.032013672E3
1.359944600E2,1.032018555E3
1.360744616E2,1.032022461E3
1.361544600E2,1.032014648E3
1.362344600E2,1.032007812E3
1.363144600E2,1.032024414E3
1.363944600E2,1.032024902E3
1.364744600E2,1.032016113E3
1.365544600E2,1.032017090E3
1.366344600E2,1.032013184E3
1.367144600E2,1.032023438E3
1.367944600E2,1.032029297E3
1.368744600E2,1.032023926E3
1.369544600E2,1.032022461E3
1.370344600E2,1.032023438E3
1.371144600E2,1.032031250E3
1.371944600E2,1.032031738E3
1.372744600E2,1.032036621E3
1.373544600E2,1.032044922E3
1.374344616E2,1.032027344E3
1.375144600E2,1.032026855E3
1.375944600E2,1.032029297E3
1.376744600E2,1.032020020E3
1.377544616E2,1.032020996E3
1.378344600E2,1.032036133E3
1.379144600E2,1.032033203E3
1.379944616E2,1.032043945E3
1.380744600E2,1.032028809E3
1.381544600E2,1.032044922E3
1.382344600E2,1.032049316E3
1.383144600E2,1.032047852E3
1.383944600E2,1.032041504E3
1.384744600E2,1.032047852E3
1.385544600E2,1.032044434E3
1.386344600E2,1.032055176E3
1.387144600E2,1.032046875E3
1.387944600E2,1.032032227E3
1.388744600E2,1.032039551E3
1.389544600E2,1.032034180E3
1.390344600E2,1.032040527E3
1.391144600E2,1.032037109E3
1.391944600E2,1.032031738E3
1.392744600E2,1.032026367E3
1.393544600E2,1.032020020E3
1.394344600E2,1.032028320E3
1.395144600E2,1.032034180E3
1.395944600E2,1.032040527E3
1.396744600E2,1.032037109E3
1.397544616E2,1.032035156E3
1.398344600E2,1.032032227E3
1.399144600E2,1.032045898E3
1.399944600E2,1.032050781E3
1.400744600E2,1.032044922E3
1.401544600E2,1.032053223E3
1.402344600E2,1.032042969E3
1.403144600E2,1.032038574E3
1.403944600E2,1.032039551E3
1.404744600E2,1.032041504E3
1.405544600E2,1.032043457E3
1.406344600E2,1.032050293E3
1.407144600E2,1.032040527E3
1.407944600E2,1.032030273E3
1.408744616E2,1.032027344E3
1.409544600E2,1.032035156E3
1.410344600E2,1.032030762E3
1.411144600E2,1.032032715E3
1.411944600E2,1.032026367E3
1.412744600E2,1.032021484E3
1.413544600E2,1.032027832E3
1.414344600E2,1.032024414E3
1.415144600E2,1.032018066E3
1.415944600E2,1.032020508E3
1.416744600E2,1.032026367E3
1.417544600E2,1.032033203E3
1.418344600E2,1.032015625E3
1.419144600E2,1.032020020E3
1.419944600E2,1.032021973E3
1.420744600E2,1.032037598E3
1.421544600E2,1.032029297E3
1.422344678E2,1.032020996E3
1.423144600E2,1.032030273E3
1.423944616E2,1.032024902E3
1.424744600E2,1.032018555E3
1.425544600E2,1.032015137E3
1.426344600E2,1.032027832E3
1.427144600E2,1.032025391E3
1.427944600E2,1.032019531E3
1.428744600E2,1.032016113E3
1.429544600E2,1.032014648E3
1.430344600E2,1.032005371E3
1.431144600E2,1.032005859E3
1.431944600E2,1.032008301E3
1.432744600E2,1.032013184E3
1.433544600E2,1.032009766E3
1.434344600E2,1.032000488E3
1.435144600E2,1.032003906E3
1.435944600E2,1.032010742E3
1.436744600E2,1.032021484E3
1.437544600E2,1.032021484E3
1.438344600E2,1.032016113E3
1.439144600E2,1.032019043E3
1.439944600E2,1.032009766E3
1.440744600E2,1.032014160E3
1.441544616E2,1.032009766E3
1.442344600E2,1.032007324E3
1.443144600E2,1.032005859E3
1.443944600E2,1.032004883E3
1.444744600E2,1.032017578E3
1.445544600E2,1.032025391E3
1.446344600E2,1.032012695E3
1.447144600E2,1.032016602E3
1.447944600E2,1.032024414E3
1.448744600E2,1.032016113E3
1.449544600E2,1.032016602E3
1.450344600E2,1.032013672E3
1.451144600E2,1.032012695E3
1.451944600E2,1.032011719E3
1.452744600E2,1.032014160E3
1.453544600E2,1.032004883E3
1.454344600E2,1.032008789E3
1.455144600E2,1.032001465E3
