"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.517619205E2,3.211435510E1,1.189534421E2,1.667048735E1,2.200234887E0,3.574585196E2,5.224717096E0,5.224717096E0
1.527619184E2,3.211438801E1,1.189534261E2,1.629186855E1,1.650087736E0,3.541573644E2,5.154698699E0,5.154698699E0
1.537619166E2,3.211442875E1,1.189534244E2,1.653369757E1,1.613982437E0,3.561735759E2,5.125959263E0,5.125959263E0
1.547619149E2,3.211445745E1,1.189534257E2,1.660793619E1,1.687939826E0,3.596421420E2,5.083242671E0,5.083242671E0
1.557619134E2,3.211448676E1,1.189534231E2,1.640974454E1,1.636880618E0,3.573334132E2,5.073988733E0,5.073988733E0
1.567619108E2,3.211452324E1,1.189534013E2,1.620689598E1,2.220233723E0,3.446781319E2,5.089350534E0,5.089350534E0
1.577619093E2,3.211455017E1,1.189533915E2,1.653344135E1,1.664325453E0,3.429636461E2,5.076462667E0,5.076462667E0
1.587619078E2,3.211458649E1,1.189533756E2,1.651265773E1,2.088500967E0,3.388558272E2,5.097779667E0,5.097779667E0
1.597619048E2,3.211462394E1,1.189533675E2,1.715027690E1,1.635195513E0,3.519648869E2,5.080093899E0,5.080093899E0
1.607619035E2,3.211465770E1,1.189533576E2,1.691986869E1,1.655160400E0,3.446754419E2,5.055511564E0,5.055511564E0
1.617619012E2,3.211468472E1,1.189533398E2,1.691262543E1,1.698568168E0,3.319560011E2,5.042055728E0,5.042055728E0
1.627618988E2,3.211470513E1,1.189533206E2,1.703741923E1,1.574890890E0,3.241714940E2,5.053570348E0,5.053570348E0
1.637618970E2,3.211473075E1,1.189533043E2,1.719716547E1,1.798386855E0,3.253656702E2,5.045765964E0,5.045765964E0
1.647618951E2,3.211476294E1,1.189532874E2,1.676676457E1,1.564145370E0,3.311571681E2,5.030272955E0,5.030272955E0
1.657618938E2,3.211479774E1,1.189532667E2,1.709766034E1,1.933858923E0,3.294898735E2,5.025267671E0,5.025267671E0
1.667618918E2,3.211481663E1,1.189532457E2,1.720548159E1,1.603173843E0,3.182392594E2,5.022896876E0,5.022896876E0
1.677618897E2,3.211483869E1,1.189532198E2,1.695687611E1,2.127712940E0,3.106128623E2,5.033427781E0,5.033427781E0
1.687618879E2,3.211486077E1,1.189531943E2,1.704674705E1,1.626342633E0,3.003770742E2,4.994585126E0,4.994585126E0
1.697618852E2,3.211488743E1,1.189531670E2,1.723982407E1,1.520314024E0,3.066006749E2,4.982222293E0,4.982222293E0
