"Time (s)","X (µT)","Y (µT)","Z (µT)"
7.379876667E0,2.690216064E0,-1.351438141E1,8.753518677E1
7.399880667E0,3.987350464E0,-1.444026184E1,8.847279358E1
7.419883667E0,4.515777588E0,-1.516120911E1,8.977212524E1
7.439886667E0,4.358505249E0,-1.600091553E1,8.748745728E1
7.459889667E0,5.635833740E0,-1.778213501E1,8.452423096E1
7.479892667E0,7.594314575E0,-2.035879517E1,8.514440918E1
7.499895667E0,8.509140015E0,-2.231606293E1,8.648501587E1
7.519898667E0,8.874053955E0,-2.412296295E1,8.511566162E1
7.539901667E0,1.029745483E1,-2.621550751E1,8.244497681E1
7.559905667E0,1.120750427E1,-2.801074219E1,8.235729980E1
7.579908667E0,1.137011719E1,-2.993614960E1,8.251577759E1
7.599911667E0,1.252130127E1,-3.218675995E1,7.903991699E1
7.619914667E0,1.369071960E1,-3.372413635E1,7.888442993E1
7.639917667E0,1.564553833E1,-3.533560944E1,8.040721130E1
7.659920667E0,1.712001038E1,-3.642193604E1,8.043229675E1
7.679923667E0,1.686608887E1,-3.712406158E1,7.888105774E1
7.699927667E0,1.458932495E1,-3.701238251E1,7.562777710E1
7.719930667E0,1.375267029E1,-3.628569031E1,7.510194397E1
7.739933667E0,1.258352661E1,-3.593634033E1,7.610824585E1
7.759936667E0,1.065165710E1,-3.510303497E1,7.565582275E1
7.779939667E0,9.493621826E0,-3.400128174E1,7.511688232E1
7.799942667E0,1.077807617E1,-3.385935211E1,7.614550781E1
7.819945667E0,1.041781616E1,-3.320977783E1,7.716612244E1
7.839949667E0,9.646850586E0,-3.296875000E1,7.521244812E1
7.859952667E0,8.982254028E0,-3.317653656E1,7.379429626E1
7.879953125E0,7.224090576E0,-3.261043549E1,7.087977600E1
7.899956125E0,3.100936890E0,-3.207524109E1,6.427676392E1
7.919959125E0,2.849578857E-1,-3.156742859E1,5.897651672E1
7.939962125E0,-1.288909912E0,-3.077215576E1,5.655447388E1
7.959965125E0,-1.586456299E-1,-3.158976746E1,5.736949158E1
7.979969125E0,7.047424316E-1,-3.207164001E1,5.912503052E1
7.999972125E0,-1.721618652E0,-3.267891693E1,5.796983337E1
8.019975125E0,-7.210372925E0,-3.334569550E1,5.278778076E1
8.039978125E0,-1.251638794E1,-3.258134460E1,4.662823486E1
8.059981125E0,-1.599815369E1,-3.142707825E1,4.223156738E1
8.079984125E0,-1.827365112E1,-3.032870483E1,3.900390625E1
8.099988125E0,-1.811924744E1,-3.041316986E1,3.722146606E1
8.119991125E0,-1.586898804E1,-3.166328430E1,3.551080322E1
8.139994125E0,-1.186222839E1,-3.305641937E1,3.515747070E1
8.159997125E0,-6.426696777E0,-3.444744873E1,3.412759399E1
8.180000125E0,-4.446868896E-1,-3.492893982E1,3.293444824E1
