"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.989330208E0,-2.902085483E-1,-7.184355259E-1,6.266846657E-1
5.009433208E0,-4.541999698E-1,-5.859481692E-1,3.563542366E-1
5.029535208E0,-5.132632256E-1,-4.985144734E-1,1.329277754E-1
5.049638208E0,-5.460193753E-1,-4.047377706E-1,-1.441279799E-2
5.069741208E0,-6.204777956E-1,-2.813540697E-1,-7.653902471E-2
5.089843208E0,-6.619591117E-1,-1.819361448E-1,-3.916528076E-2
5.109946208E0,-7.269710302E-1,-1.463034451E-1,3.344007581E-2
5.130049208E0,-7.465527058E-1,-1.722285151E-1,5.565297604E-2
5.150151208E0,-6.957014799E-1,-2.294329554E-1,-4.716927931E-2
5.170254208E0,-5.627114177E-1,-2.046146840E-1,-1.843681484E-1
5.190357208E0,-4.038513005E-1,-7.729015499E-2,-3.051389158E-1
5.210459208E0,-2.604576349E-1,7.003549952E-3,-4.042701423E-1
5.230562208E0,-1.419072598E-1,3.441853076E-2,-4.490188658E-1
5.250665208E0,-8.249838650E-2,7.108014077E-2,-5.179427862E-1
5.270767208E0,-6.494878978E-2,9.401541948E-2,-7.131885290E-1
5.290870208E0,-5.398184061E-3,2.129952013E-1,-8.118729591E-1
5.310973208E0,1.341999322E-1,4.365646541E-1,-6.331213117E-1
5.331075208E0,1.087181643E-1,3.525992930E-1,-4.318991303E-1
5.351178208E0,-1.243867632E-2,1.666010767E-1,-3.037945330E-1
5.371281208E0,-1.709681749E-1,3.009355627E-2,-1.495104432E-1
5.391384208E0,-2.545645833E-1,-5.736571923E-2,3.230304271E-2
5.411486208E0,-2.406183779E-1,-7.715273649E-2,1.429744214E-1
5.431589208E0,-1.863294840E-1,-8.444634080E-2,2.116048932E-1
5.451692208E0,-7.593861222E-2,-7.588760555E-2,3.000922799E-1
5.471794208E0,5.652629212E-2,-7.057633251E-2,3.988757133E-1
5.491897208E0,1.362715960E-1,-1.248222589E-1,4.633596241E-1
5.512000208E0,1.400707513E-1,-1.434468180E-1,4.758133590E-1
5.532102208E0,6.573278457E-2,-1.497591585E-1,4.724925458E-1
5.552205208E0,-1.402091421E-2,-1.377236694E-1,4.730141163E-1
5.572308208E0,9.315940551E-3,-6.233491004E-2,4.794376493E-1
5.592410208E0,9.401552379E-2,7.595226169E-2,4.934731722E-1
5.612513208E0,2.253885269E-1,1.432486176E-1,4.477710724E-1
5.632616208E0,3.973424733E-1,1.398251206E-1,3.105376065E-1
5.652719208E0,5.849210024E-1,1.412453800E-1,9.930284321E-2
