"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.978540921E1,5.098835754E1,1.553576279E1,3.358901596E1
8.980551321E1,5.183483887E1,1.561523056E1,3.318588257E1
8.982561721E1,5.259123230E1,1.564527893E1,3.308061218E1
8.984572021E1,5.326857376E1,1.552183914E1,3.279129028E1
8.986582421E1,5.351815796E1,1.533871460E1,3.231394958E1
8.988592721E1,5.397757721E1,1.503437042E1,3.254897308E1
8.990603121E1,5.367059708E1,1.409860992E1,3.217264557E1
8.992613521E1,5.236011505E1,1.295413589E1,3.188846588E1
8.994623883E1,4.926904678E1,1.115649796E1,3.078717613E1
8.996634283E1,4.682132721E1,1.025864410E1,2.945309639E1
8.998644683E1,4.604079437E1,9.828929901E0,2.922123909E1
9.000654983E1,4.702859116E1,1.044532394E1,2.953476143E1
9.002665383E1,4.858296585E1,1.161380005E1,3.044236946E1
9.004675683E1,5.014983368E1,1.234136963E1,3.040668297E1
9.006686083E1,5.179178238E1,1.301473999E1,3.028186417E1
9.008696483E1,5.278237152E1,1.360943604E1,3.071006012E1
9.010706783E1,5.341051102E1,1.387994003E1,3.085164642E1
9.012717183E1,5.361602020E1,1.410577774E1,3.074692154E1
9.014727583E1,5.361926270E1,1.442111969E1,3.047464180E1
9.016737883E1,5.392120361E1,1.429389572E1,3.081868172E1
9.018748283E1,5.426614380E1,1.416422653E1,3.058199883E1
9.020758583E1,5.415182877E1,1.409007645E1,2.992025375E1
9.022768983E1,5.403496170E1,1.404065704E1,2.944352150E1
9.024779383E1,5.416765594E1,1.399850464E1,2.931353569E1
9.026789683E1,5.388444519E1,1.374963760E1,2.982497597E1
9.028800083E1,5.332484818E1,1.333985519E1,2.952899551E1
9.030810483E1,5.203945541E1,1.329734421E1,2.903800964E1
9.032820783E1,5.121321869E1,1.324321747E1,2.856779861E1
9.034831183E1,5.087262726E1,1.294217682E1,2.837670898E1
9.036841583E1,5.000905609E1,1.300276947E1,2.882335091E1
9.038851883E1,4.925853348E1,1.288108063E1,2.883676529E1
9.040862283E1,4.845897675E1,1.242075729E1,2.983219528E1
9.042872583E1,4.829241180E1,1.227226257E1,3.053568649E1
9.044882983E1,4.869883347E1,1.251078796E1,3.018854904E1
9.046893383E1,4.948286057E1,1.362231064E1,3.098799896E1
9.048903683E1,5.047933197E1,1.422904205E1,3.128865433E1
9.050914083E1,5.130225372E1,1.480039215E1,3.224417877E1
9.052924483E1,5.169104004E1,1.539396667E1,3.352115250E1
9.054934783E1,5.187228394E1,1.532424545E1,3.483349609E1
9.056945183E1,5.182674408E1,1.505894470E1,3.623608398E1
9.058955483E1,5.148242950E1,1.492160034E1,3.706678772E1
9.060965883E1,5.160256577E1,1.502311325E1,3.785379410E1
9.062976283E1,5.209888840E1,1.496374512E1,3.796179199E1
9.064986583E1,5.262751007E1,1.511838531E1,3.793236923E1
9.066996983E1,5.304710388E1,1.560458755E1,3.840069580E1
9.069007383E1,5.369196701E1,1.598502731E1,3.879839325E1
9.071017683E1,5.498682022E1,1.625681305E1,3.873395538E1
9.073028083E1,5.588502884E1,1.649711227E1,3.883774567E1
9.075038383E1,5.642988968E1,1.664447021E1,3.872772980E1
9.077048783E1,5.690703583E1,1.681699753E1,3.817623138E1
9.079059183E1,5.692620468E1,1.650288010E1,3.826426315E1
9.081069483E1,5.611253357E1,1.582704544E1,3.731921387E1
9.083079883E1,5.325914001E1,1.384360504E1,3.678892517E1
9.085090283E1,5.015003967E1,1.258596039E1,3.510256958E1
9.087100583E1,4.825527191E1,1.229932785E1,3.467583847E1
9.089110983E1,4.891555786E1,1.328777313E1,3.419657135E1
9.091121283E1,5.046796036E1,1.466149521E1,3.505945206E1
9.093131683E1,5.185322571E1,1.606533051E1,3.518215942E1
9.095142008E1,5.300866318E1,1.662480927E1,3.475279999E1
9.097152308E1,5.368360519E1,1.709224319E1,3.493199539E1
9.099162708E1,5.392058945E1,1.763041687E1,3.415497589E1
9.101173108E1,5.372391891E1,1.796520233E1,3.383088684E1
9.103183408E1,5.364741898E1,1.809076309E1,3.425567627E1
9.105193808E1,5.365050888E1,1.790386581E1,3.446368027E1
9.107204208E1,5.386712265E1,1.827752686E1,3.440837479E1
9.109214508E1,5.402796555E1,1.872630692E1,3.434918976E1
9.111224908E1,5.462704468E1,1.866017914E1,3.408299637E1
9.113235208E1,5.511345673E1,1.924656677E1,3.367559814E1
9.115245608E1,5.562170410E1,1.999259186E1,3.354399872E1
9.117256008E1,5.561646652E1,2.058797836E1,3.341243362E1
9.119266308E1,5.473825836E1,2.049064255E1,3.247513199E1
9.121276708E1,5.360783768E1,1.982629776E1,3.185256767E1
9.123287108E1,5.175312805E1,1.949084091E1,3.044895744E1
9.125297408E1,5.071725845E1,1.921401215E1,3.004792786E1
9.127307808E1,4.958171082E1,1.851796722E1,2.996376801E1
9.129318108E1,4.853995514E1,1.814689636E1,3.020652771E1
9.131328508E1,4.770199966E1,1.788423157E1,3.050377846E1
9.133338908E1,4.752571106E1,1.812617493E1,3.053687096E1
9.135349208E1,4.823054504E1,1.833845901E1,3.087580872E1
9.137359608E1,4.916386414E1,1.897908783E1,3.176862907E1
9.139370008E1,5.005868530E1,1.969651794E1,3.242835236E1
9.141380308E1,5.097422028E1,2.005875015E1,3.331329346E1
9.143390708E1,5.145199585E1,2.044939423E1,3.442127991E1
9.145401008E1,5.122739410E1,2.019808578E1,3.560759354E1
9.147411408E1,5.116324615E1,1.997557068E1,3.651760483E1
9.149421808E1,5.154954529E1,2.013181686E1,3.686807251E1
9.151432108E1,5.202909470E1,2.010313797E1,3.663114166E1
9.153442508E1,5.280057907E1,2.046934128E1,3.613135910E1
9.155452908E1,5.337435150E1,2.075379181E1,3.598369980E1
9.157463208E1,5.427062607E1,2.101892090E1,3.615763855E1
9.159473608E1,5.482611465E1,2.101507568E1,3.614302063E1
9.161483908E1,5.500646210E1,2.114038849E1,3.560662079E1
9.163494308E1,5.546881485E1,2.107044983E1,3.511155701E1
9.165504708E1,5.568605042E1,2.092646790E1,3.489152145E1
9.167515008E1,5.536791229E1,2.060031891E1,3.421526337E1
9.169525408E1,5.530162811E1,1.993632889E1,3.354184341E1
9.171535808E1,5.356803894E1,1.874856567E1,3.273738480E1
9.173546108E1,5.105520630E1,1.714043045E1,3.201976013E1
9.175556508E1,4.890205383E1,1.650711823E1,3.134116554E1
9.177566908E1,4.753237534E1,1.645569229E1,3.112166786E1
9.179577208E1,4.740585709E1,1.695667648E1,3.115842247E1
9.181587608E1,4.813111877E1,1.823994446E1,3.123874092E1
9.183597908E1,4.928252029E1,1.906504822E1,3.121426964E1
9.185608308E1,5.070984650E1,1.999558640E1,3.078018951E1
9.187618708E1,5.181882858E1,2.065482330E1,3.035844040E1
9.189629008E1,5.274659348E1,2.147858429E1,2.996904182E1
9.191639408E1,5.278021622E1,2.167378235E1,2.990554428E1
9.193649808E1,5.268255234E1,2.223081970E1,2.997048569E1
9.195660146E1,5.232395935E1,2.241268921E1,3.052100754E1
9.197670546E1,5.228053665E1,2.240831757E1,3.023144722E1
9.199680846E1,5.250476837E1,2.274943542E1,2.937941742E1
9.201691246E1,5.220168686E1,2.268619537E1,2.898789597E1
9.203701646E1,5.213743210E1,2.246308136E1,2.925555038E1
9.205711946E1,5.169210815E1,2.267848206E1,2.923210144E1
9.207722346E1,5.143572617E1,2.286026001E1,2.893337822E1
9.209732746E1,5.076240158E1,2.316603851E1,2.861973763E1
9.211743046E1,4.972920609E1,2.282047272E1,2.788138008E1
9.213753446E1,4.872977066E1,2.242040253E1,2.738196373E1
9.215763846E1,4.800351715E1,2.234198761E1,2.700773430E1
9.217774146E1,4.726347733E1,2.230324554E1,2.698840714E1
9.219784546E1,4.643334198E1,2.196123505E1,2.743156052E1
9.221794846E1,4.567364502E1,2.148518372E1,2.813372993E1
9.223805246E1,4.446970367E1,2.089395905E1,2.838392258E1
9.225815646E1,4.379207611E1,2.066753387E1,2.843119812E1
9.227825946E1,4.386959839E1,2.076925659E1,2.834987640E1
9.229836346E1,4.466131592E1,2.100920105E1,2.888071060E1
9.231846746E1,4.537066650E1,2.172608948E1,2.970087051E1
9.233857046E1,4.652005386E1,2.246247101E1,3.069489670E1
9.235867446E1,4.702840042E1,2.286030579E1,3.154431152E1
9.237877746E1,4.692997360E1,2.295695496E1,3.301750946E1
9.239888146E1,4.635112000E1,2.248038483E1,3.424715805E1
9.241898546E1,4.618722534E1,2.185335541E1,3.455340576E1
9.243908846E1,4.698257446E1,2.157174683E1,3.501837158E1
9.245919246E1,4.789687729E1,2.231183624E1,3.503066254E1
9.247929646E1,4.862852097E1,2.202829742E1,3.511454010E1
9.249939946E1,4.899340820E1,2.259997559E1,3.533542252E1
9.251950346E1,4.946979904E1,2.249595642E1,3.505378342E1
9.253960746E1,5.003247452E1,2.202924347E1,3.546474457E1
9.255971046E1,5.038939667E1,2.192277527E1,3.500785828E1
9.257981446E1,5.104295349E1,2.183231354E1,3.462689590E1
9.259991746E1,5.129807281E1,2.185810852E1,3.412495804E1
9.262002146E1,5.106674576E1,2.128904724E1,3.329063797E1
9.264012546E1,5.124539185E1,2.140588379E1,3.288267517E1
9.266022846E1,5.022190857E1,2.003584671E1,3.228171921E1
9.268033246E1,4.787717056E1,1.804125977E1,3.182000542E1
9.270043646E1,4.500597382E1,1.624291611E1,3.057257080E1
9.272053946E1,4.330533600E1,1.625048065E1,2.963345909E1
9.274064346E1,4.342201996E1,1.700973892E1,2.964699745E1
9.276074746E1,4.428423691E1,1.805420685E1,2.990907288E1
9.278085046E1,4.568032837E1,1.904926682E1,3.019487572E1
9.280095446E1,4.699484253E1,1.983016586E1,3.012472916E1
9.282105746E1,4.819066620E1,2.063531876E1,2.988276291E1
9.284116146E1,4.899239349E1,2.093331909E1,2.962931442E1
9.286126546E1,4.855715942E1,2.166555786E1,2.902075768E1
9.288136846E1,4.853031540E1,2.176628113E1,2.906084442E1
9.290147246E1,4.834827042E1,2.148927307E1,2.946100426E1
9.292157646E1,4.839917374E1,2.158517456E1,2.941659927E1
