"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.137585248E2,3.211676262E1,1.189556536E2,2.104243114E1,1.242189169E0,3.548218065E2,5.551539606E0,5.551539606E0
1.147584885E2,3.211677702E1,1.189556492E2,2.108949400E1,1.293139458E0,3.468045185E2,5.454901692E0,5.454901692E0
1.157584532E2,3.211679478E1,1.189556486E2,2.111333653E1,1.323698401E0,3.523452608E2,5.375628899E0,5.375628899E0
1.167584171E2,3.211680944E1,1.189556512E2,2.125137570E1,1.293139458E0,3.580499486E2,5.398189514E0,5.398189514E0
1.177583817E2,3.211682097E1,1.189556511E2,2.132872938E1,1.166001797E0,3.558947751E2,5.437343437E0,5.437343437E0
1.187583457E2,3.211683099E1,1.189556481E2,2.142688941E1,1.131259322E0,3.561450741E2,5.550011228E0,5.550011228E0
1.197583094E2,3.211683457E1,1.189556456E2,2.144752489E1,6.576530337E-1,3.544709578E2,5.690546479E0,5.690546479E0
1.207582732E2,3.211684173E1,1.189556407E2,2.144280834E1,7.361304760E-1,3.555303823E2,5.563659546E0,5.563659546E0
1.217582375E2,3.211684555E1,1.189556452E2,2.144118767E1,6.576530337E-1,3.555303823E2,5.507880495E0,5.507880495E0
1.227582015E2,3.211684369E1,1.189556489E2,2.143960126E1,4.482618570E-1,3.555303823E2,5.510764776E0,5.510764776E0
1.237581657E2,3.211683975E1,1.189556490E2,2.142166169E1,4.482618570E-1,3.555303823E2,5.564225383E0,5.564225383E0
1.247581300E2,3.211684427E1,1.189556441E2,2.150210573E1,2.176860869E-1,3.555303823E2,5.494960578E0,5.494960578E0
1.257580942E2,3.211684533E1,1.189556408E2,2.156952714E1,1.573812217E-1,3.555303823E2,5.594101651E0,5.594101651E0
1.267580571E2,3.211684713E1,1.189556381E2,2.159049344E1,6.498540938E-2,3.555303823E2,5.519425549E0,5.519425549E0
1.277580215E2,3.211685005E1,1.189556416E2,2.154344632E1,1.573812217E-1,3.555303823E2,5.498327250E0,5.498327250E0
1.287579850E2,3.211684893E1,1.189556375E2,2.158495357E1,2.319285721E-1,3.555303823E2,5.508697384E0,5.508697384E0
1.297579495E2,3.211685141E1,1.189556502E2,2.157509564E1,4.745633304E-1,3.555303823E2,5.611126665E0,5.611126665E0
1.307579138E2,3.211685783E1,1.189556598E2,2.157399252E1,5.227113366E-1,1.176826444E0,5.498895242E0,5.498895242E0
1.317578768E2,3.211686145E1,1.189556723E2,2.158811764E1,5.227113366E-1,6.533831606E0,5.556001928E0,5.556001928E0
1.327578415E2,3.211686677E1,1.189556909E2,2.152626708E1,7.137158513E-1,1.113613718E1,5.655180506E0,5.655180506E0
1.337578052E2,3.211687389E1,1.189556987E2,2.146703426E1,7.137158513E-1,1.113613718E1,5.724396374E0,5.724396374E0
1.347577688E2,3.211687715E1,1.189556984E2,2.142254625E1,1.160843298E-1,1.113613718E1,5.783604323E0,5.783604323E0
1.357577333E2,3.211687375E1,1.189557058E2,2.141976379E1,1.770455539E-1,1.113613718E1,5.755414057E0,5.755414057E0
1.367576962E2,3.211687279E1,1.189557114E2,2.144843923E1,1.770455539E-1,1.113613718E1,5.862658531E0,5.862658531E0
1.377576604E2,3.211687476E1,1.189557122E2,2.146898000E1,2.396272570E-1,1.113613718E1,5.778354475E0,5.778354475E0
1.387576241E2,3.211687326E1,1.189557181E2,2.156076973E1,4.807366431E-1,1.730063547E1,5.646529999E0,5.646529999E0
1.397575886E2,3.211686620E1,1.189557173E2,2.161855328E1,3.282329142E-1,1.730063547E1,5.569813852E0,5.569813852E0
1.407575524E2,3.211685836E1,1.189557218E2,2.159031754E1,3.282329142E-1,1.730063547E1,5.583610669E0,5.583610669E0
1.417575158E2,3.211686005E1,1.189557268E2,2.164728274E1,9.834049642E-2,1.730063547E1,5.579268470E0,5.579268470E0
1.427574797E2,3.211685354E1,1.189557250E2,2.170179821E1,1.488922983E-1,1.730063547E1,5.659726300E0,5.659726300E0
1.437574434E2,3.211685830E1,1.189557295E2,2.170164492E1,1.488922983E-1,1.730063547E1,5.717154126E0,5.717154126E0
1.447574065E2,3.211685255E1,1.189557340E2,2.167077231E1,1.666205227E-1,1.730063547E1,5.773944007E0,5.773944007E0
1.457573708E2,3.211684538E1,1.189557287E2,2.155199002E1,9.113686532E-2,1.730063547E1,5.673246306E0,5.673246306E0
1.467573391E2,3.211684188E1,1.189557372E2,2.158593626E1,3.540781885E-2,1.730063547E1,5.711573643E0,5.711573643E0
1.477572989E2,3.211684663E1,1.189557486E2,2.155064672E1,2.067318261E-1,1.730063547E1,5.567518702E0,5.567518702E0
1.487572626E2,3.211684856E1,1.189557515E2,2.154641236E1,2.448991984E-1,1.730063547E1,5.621277686E0,5.621277686E0
1.497572262E2,3.211684425E1,1.189557470E2,2.157212146E1,2.233649343E-1,1.730063547E1,5.628412123E0,5.628412123E0
